Designator,Mid X,Mid Y,Rotation,Layer
A1,146.27,-74.02,180.0,bottom
B1,148.19,-134.75,90.0,top
B2,153.465,-134.75,90.0,top
B3,128.4,-144.81,90.0,top
B4,133.6,-144.81,90.0,top
B5,138.45,-144.81,90.0,top
B6,143.45,-144.81,90.0,top
B7,148.325,-144.81,90.0,top
B8,153.4,-144.81,90.0,top
BATTERY,93.3958,-78.4352,90.0,bottom
BC1,148.88,-93.27,90.0,top
C1,136.3,-123.1,270.0,top
C2,116.98,-56.26,270.0,top
C3,63.865,-125.04,0.0,top
C4,70.7,-58.15,270.0,top
C5,68.6075,-143.635,0.0,top
C6,118.02,-84.8,0.0,top
C7,82.74,-85.29,0.0,top
C8,145.9,-99.9,180.0,top
C9,128.7272,-133.7564,90.0,top
D1,107.238004,-140.779846,216.0,top
D10,129.05,-75.541667,270.0,top
D11,128.29,-68.07,180.0,top
D12,117.07,-68.07,180.0,top
D13,103.91,-74.77,305.0,top
D14,107.33,-68.07,35.0,top
D15,107.8,-61.6,345.0,top
D16,105.725,-56.13,0.0,top
D17,93.81,-140.75,325.0,top
D18,86.519504,-135.709342,320.0,top
D19,80.32,-129.73,310.0,top
D2,114.51,-135.75,221.0,top
D20,75.366308,-123.214452,295.0,top
D21,72.38,-116.77,0.0,top
D22,71.34,-108.978333,270.0,top
D23,71.34,-100.616667,270.0,top
D24,71.34,-92.255,270.0,top
D25,71.34,-83.893333,270.0,top
D26,71.34,-75.531667,270.0,top
D27,72.11,-68.07,0.0,top
D28,82.7,-68.07,0.0,top
D29,96.65,-74.825,235.0,top
D3,120.48,-129.73,230.0,top
D30,93.06,-68.07,140.0,top
D31,91.89,-61.6,215.0,top
D32,94.695,-56.13,0.0,top
D33,100.34,-143.33,270.0,top
D34,100.27,-136.33,270.0,top
D35,104.93,-131.95,240.0,top
D36,95.82,-131.95,305.0,top
D37,93.94,-126.53,215.0,top
D38,106.9,-126.53,325.0,top
D39,100.25,-125.14,270.0,top
D4,125.31,-123.13,245.0,top
D40,100.25,-118.11,270.0,top
D41,106.64,-116.77,180.0,top
D42,119.37,-116.77,0.0,top
D43,93.81,-116.77,0.0,top
D44,81.29,-116.77,0.0,top
D45,113.5,-110.54,240.0,top
D46,121.44,-105.78,225.0,top
D47,121.78,-96.06,300.0,top
D48,114.46,-91.45,0.0,top
D49,112.56,-102.42,325.0,top
D5,128.29,-116.77,0.0,top
D50,103.12,-109.09,260.0,top
D51,97.71,-109.09,280.0,top
D52,87.35,-110.54,315.0,top
D53,79.53,-105.78,320.0,top
D54,78.64,-96.06,245.0,top
D55,84.86,-91.45,180.0,top
D56,87.05,-102.42,220.0,top
D57,95.91,-100.72,285.0,top
D58,104.85,-100.72,260.0,top
D59,106.43,-92.52,255.0,top
D6,129.05,-109.028333,270.0,top
D60,93.88,-92.52,285.0,top
D61,92.73,-83.0,250.0,top
D62,107.58,-83.0,290.0,top
D63,100.175,-63.325,270.0,top
D64,100.1,-53.44,270.0,top
D7,129.05,-100.656667,270.0,top
D8,129.05,-92.285,270.0,top
D9,129.05,-83.913333,270.0,top
DIODE,93.472,-85.7946,90.0,bottom
ICI1,135.65,-133.44,90.0,top
ICO1,143.2425,-123.14,90.0,top
ICO2,123.8625,-56.1,90.0,top
ICO3,63.955,-118.13,180.0,top
ICO4,77.495,-58.1225,90.0,top
ICO5,68.62,-136.54,180.0,top
ICO6,118.0525,-77.855,180.0,top
ICO7,82.72,-78.43,180.0,top
ICO8,145.8975,-106.825,0.0,top
J1,146.34,-53.6,270.0,top
R1,105.298004,-138.419846,37.0,top
R10,132.06,-75.46,90.0,top
R11,128.292499,-65.129999,0.0,top
R12,117.11,-65.13,0.0,top
R13,107.04,-74.13,305.0,top
R14,109.651991,-70.108856,35.0,top
R15,110.66,-59.23,345.0,top
R16,105.56,-53.2,0.0,top
R17,95.73,-138.5,144.0,top
R18,88.71,-133.53,140.0,top
R19,82.54,-127.8,130.0,top
R2,112.39,-133.52,41.0,top
R20,72.67,-124.36,115.0,top
R21,71.63,-119.73,180.0,top
R22,68.39,-109.13,270.0,top
R23,68.27,-100.87,270.0,top
R24,68.27,-92.27,270.0,top
R25,68.36,-83.893333,90.0,top
R26,68.36,-75.531667,90.0,top
R27,72.16,-65.13,180.0,top
R28,82.46,-64.85,180.0,top
R29,98.55,-77.28,235.0,top
R3,118.14,-127.73,51.0,top
R30,91.05,-70.3,140.0,top
R31,89.74,-59.21,215.0,top
R32,94.49,-53.23,180.0,top
R33,62.6725,-141.365,90.0,top
